id,x,y,deg,score
1,s-0.8412841530054648853109711126307956874370574951171875,s-3.489071038251366996263413966516964137554168701171875,s180,s0.37644808743169406
2,s-0.428784153005464740981977911360445432364940643310546875,s-3.989071038251366996263413966516964137554168701171875,s0,s0.37644808743169406
3,s-0.0162841530054646001224316620437093661166727542877197265625,s-3.489071038251366996263413966516964137554168701171875,s180,s0.37644808743169406
4,s0.396215846994535436653706028664601035416126251220703125,s-3.989071038251366996263413966516964137554168701171875,s0,s0.37644808743169406
5,s0.8087158469945350258711869173566810786724090576171875,s-3.489071038251366996263413966516964137554168701171875,s180,s0.37644808743169406
6,s1.22121584699453489264442396233789622783660888671875,s-3.989071038251366996263413966516964137554168701171875,s0,s0.37644808743169406
7,s1.6337158469945354255514757824130356311798095703125,s-3.489071038251366996263413966516964137554168701171875,s180,s0.37644808743169406
8,s2.046215846994535514369317752425558865070343017578125,s-3.989071038251366996263413966516964137554168701171875,s0,s0.37644808743169406
9,s2.458715846994536047276369572500698268413543701171875,s-3.489071038251366996263413966516964137554168701171875,s180,s0.37644808743169406
10,s2.871215846994535692005001692450605332851409912109375,s-3.989071038251366996263413966516964137554168701171875,s0,s0.37644808743169406
11,s3.283715846994535336733633812400512397289276123046875,s-3.489071038251366996263413966516964137554168701171875,s180,s0.37644808743169406
12,s3.696215846994535869640685632475651800632476806640625,s-3.989071038251366996263413966516964137554168701171875,s0,s0.37644808743169406
13,s-3.879784153005463753771664414671249687671661376953125,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
14,s-3.467284153005464109043032294721342623233795166015625,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
15,s-3.05478415300546402022519032470881938934326171875,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
16,s-2.642284153005463931407348354696296155452728271484375,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
17,s-2.229784153005464286678716234746389091014862060546875,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
18,s-1.8172841530054644199054791897651739418506622314453125,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
19,s-1.40478415300546455313224214478395879268646240234375,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
20,s-0.9922841530054646863590050998027436435222625732421875,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
21,s-0.5797841530054645975411631297902204096317291259765625,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
22,s-0.16728415300546439770101869726204313337802886962890625,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
23,s0.245215846994535635605672041492653079330921173095703125,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
24,s0.6577158469945352248231529301847331225872039794921875,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
25,s1.07021584699453509159638997516594827175140380859375,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
26,s1.4827158469945356245034417952410876750946044921875,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
27,s1.895215846994535269232073915190994739532470703125,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
28,s2.307715846994536246228335585328750312328338623046875,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
29,s2.720215846994535890956967705278657376766204833984375,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
30,s3.132715846994535535685599825228564441204071044921875,s-3.189071038251367173899097906542010605335235595703125,s0,s0.37644808743169406
31,s3.545215846994536068592651645303703844547271728515625,s-2.689071038251367173899097906542010605335235595703125,s180,s0.37644808743169406
32,s-3.728784153005463952723630427499301731586456298828125,s-2.38907103825136690744557199650444090366363525390625,s0,s0.37644808743169406
33,s-3.3162841530054638639057884574867784976959228515625,s-1.8890710382513675735793867715983651578426361083984375,s180,s0.37644808743169406
